the	/ðə/
prognosticate	/prɑɡˈnɑstɪˌkeɪt/
late-eighteenth-century	/ˌleɪt ˌeɪˈtinθ ˈsɛntʃəri/
company-paid	/ˈkʌmpəni ˈpeɪd/
blat	/blæt/
kleptomaniac	/ˌklɛptoʊˈmeɪniˌæk/
steeliness	/ˈstiːlinəs/
glass-encased	/ˈɡlæs ɪnˈkeɪst/
shallow-draft	/ˈʃæloʊ ˈdræft/
red-coated	/ˈrɛd ˈkoʊtɪd/
untraveled	/ʌnˈtrævəld/
unlevel	/ʌnˈlɛvəl/
best-studied	/ˈbɛst ˈstʌdid/
tepidly	/ˈtɛpɪdli/
haloed	/ˈheɪloʊd/
faultlessly	/ˈfɔltləsli/
middle-market	/ˈmɪdəl ˈmɑrkɪt/
pleating	/ˈplitɪŋ/
minstrelsy	/ˈmɪnstrəlsi/
bill-paying	/ˈbɪl ˈpeɪɪŋ/
draft-age	/ˈdræft ˌeɪdʒ/
semiaquatic	/ˌsɛmiəˈkwɑtɪk/
high-percentage	/ˈhaɪ pərˈsɛntɪdʒ/
ephemerality	/ɪˌfɛmərˈæləti/
scuttling	/ˈskʌtlɪŋ/
sapwood	/ˈsæpˌwʊd/
unsustainability	/ˌʌnsəˌsteɪnəˈbɪləti/
muthafucka	/ˌmʌðəˈfʌkə/
transposed	/trænsˈpoʊzd/
spondylitis	/ˌspɑndɪˈlaɪtɪs/
biocentric	/ˌbaɪoʊˈsɛntrɪk/
below-normal	/bɪˈloʊ ˈnɔrməl/
conventionalism	/kənˈvɛnʃənəlɪzəm/
depoliticized	/diːˈpɑlɪtɪˌsaɪzd/
cloaca	/kloʊˈeɪkə/
counterbalancing	/ˌkaʊntərˈbælənɪŋ/
pop-art	/ˈpɑp ˌɑrt/
late-19th	/ˌleɪt ˈnaɪnˈtiːnθ/
purty	/ˈpɜrti/
body-weight	/ˈbɑdi ˌweɪt/
mid-2003	/ˌmɪd ˌtuːˈθaʊzəndˈθriː/
black-powder	/ˈblæk ˈpaʊdər/
front-panel	/ˈfrʌnt ˈpænəl/
local-area	/ˈloʊkəl ˈɛriə/
master's-level	/ˈmæstərz ˈlɛvəl/
remarried	/ˌriːˈmærid/
twelve-gauge	/ˈtwɛlv ˈɡeɪdʒ/
short-selling	/ˈʃɔrt ˈsɛlɪŋ/
communist-led	/ˈkɑmjənɪst ˈlɛd/
calvinistic	/ˌkælvɪˈnɪstɪk/
narrow-eyed	/ˈnɛroʊ ˈaɪd/
tansu	/ˈtɑːnsuː/
heathenism	/ˈhiːðənɪzəm/
bare-root	/ˈbɛrˈrut/
bilayer	/ˈbaɪˌleɪər/
intifadeh	/ˌɪntɪˈfɑːdə/
female-female	/ˈfiːˌmeɪl ˈfiːˌmeɪl/
economism	/ɪˈkɑnəˌmɪzəm/
escorted	/ˈɛskɔrtɪd/
basilar	/ˈbæsɪlər/
townsite	/ˈtaʊnˌsaɪt/
spheric	/ˈsfɛrɪk/
monological	/ˌmɑnəˈlɑdʒɪkəl/
two-pole	/ˈtuːˈpoʊl/
crewed	/kruːd/
boot-cut	/ˈbutˌkʌt/
no-cook	/ˈnoʊˈkʊk/
jeweller	/ˈdʒuːələr/
foundress	/ˈfaʊndrəs/
unpresidential	/ˌʌnˌprɛzɪˈdɛnʃəl/
pondweed	/ˈpɑndˌwiːd/
commensal	/kəˈmɛnsəl/
buddleia	/ˈbʌdliə/
self-limited	/ˌsɛlfˈlɪmɪtɪd/
teacher-made	/ˈtiːtʃər ˈmeɪd/
water-ice	/ˈwɔtər ˌaɪs/
behavioristic	/bɪˌheɪvjəˈrɪstɪk/
nonracist	/ˈnɑnˈreɪsɪst/
firm-specific	/ˈfɜrm spəˈsɪfɪk/
god-man	/ˈɡɑdˌmæn/
begum	/ˈbeɪɡəm/
hypocalcemia	/ˌhaɪpoʊˌkælˈsiːmiə/
poliovirus	/ˈpoʊlioʊˌvaɪrəs/
foetus	/ˈfiːtəs/
scruffy-looking	/ˈskrʌfi ˈlʊkɪŋ/
dim-lit	/ˈdɪmˈlɪt/
morphogenesis	/ˌmɔrfoʊˈdʒɛnəsɪs/
nonrelativistic	/ˌnɑnˌrɛlətɪˈvɪstɪk/
moldavian	/mɑlˈdeɪviən/
ditz	/dɪts/
leukaemia	/luˈkiːmiə/
nonabused	/ˌnɑnəˈbjuːzd/
oubliette	/ˌuːbliˈɛt/
firebase	/ˈfaɪərˌbeɪs/
mixed-species	/ˈmɪkst ˈspiːʃiːz/
liquid-cooled	/ˈlɪkwɪd ˈkuːld/
ploughman	/ˈplaʊmən/
business-minded	/ˈbɪznɪs ˈmaɪndɪd/
slate-blue	/ˈsleɪt ˈbluː/
venomously	/ˈvɛnəməsli/
unsealed	/ʌnˈsiːld/
ruby-colored	/ˈrubi ˈkʌlərd/
bad-smelling	/ˈbæd ˈsmɛlɪŋ/
partaking	/pɑrˈteɪkɪŋ/
one-and-only	/ˌwʌn ənd ˈoʊnli/
overfilled	/ˌoʊvərˈfɪld/
tankful	/ˈtæŋkˌfʊl/
leading-man	/ˈliːdɪŋ ˌmæn/
wind-scoured	/ˈwɪnd ˈskaʊərd/
slow-acting	/ˈsloʊ ˈæktɪŋ/
second-chance	/ˈsɛkənd ˈtʃæns/
still-hot	/ˈstɪlˈhɑt/
unfelt	/ʌnˈfɛlt/
tucked-away	/ˈtʌkt əˈweɪ/
unprofessionally	/ˌʌnprəˈfɛʃənəli/
contrarily	/ˈkɑntrɛrɪli/
heartlessly	/ˈhɑrtləsli/
piping-hot	/ˈpaɪpɪŋ ˈhɑt/
society-wide	/səˈsaɪəti ˈwaɪd/
mistranslation	/ˌmɪstrænsˈleɪʃən/
quarter-pound	/ˈkwɔrtər ˈpaʊnd/
mumbling	/ˈmʌmblɪŋ/
dethroned	/diːˈθroʊnd/
six-decade	/ˈsɪks ˈdɛkeɪd/
triggered	/ˈtrɪɡərd/
gut-shot	/ˈɡʌtˌʃɑt/
unaccredited	/ˌʌnəˈkrɛdɪtɪd/
quieting	/ˈkwaɪətɪŋ/
loftiness	/ˈlɔftɪnəs/
getting-to-know-you	/ˈɡɛtɪŋ tə ˈnoʊ juː/
orneriness	/ˈɔrnərɪnəs/
rainbow-hued	/ˈreɪnˌboʊ ˈhjuːd/
paternally	/pəˈtɜrnəli/
now-bankrupt	/ˈnaʊ ˈbæŋkrʌpt/
connect-the-dots	/kəˈnɛkt ðə ˈdɑts/
divide-and-rule	/dɪˈvaɪd ənd ˈruːl/
chubby-cheeked	/ˈtʃʌbi ˈtʃiːkt/
blissed-out	/ˈblɪst ˈaʊt/
canvas-covered	/ˈkænvəs ˈkʌvərd/
military-grade	/ˈmɪlɪˌtɛri ˈɡreɪd/
seventy-five-year-old	/ˌsɛvəntiˈfaɪvˈjɪrˈoʊld/
upper-echelon	/ˈʌpər ˈɛʃəˌlɑn/
many-faceted	/ˈmɛni ˈfæsɪtɪd/
rooty	/ˈruti/
pig-like	/ˈpɪɡˌlaɪk/
disorientated	/dɪˈsɔriənˌteɪtɪd/
gossiping	/ˈɡɑsɪpɪŋ/
right-minded	/ˈraɪt ˈmaɪndɪd/
world-beating	/ˈwɜrld ˈbiːtɪŋ/
shoddiness	/ˈʃɑdinəs/
suburban-style	/səˈbɜrbən ˈstaɪl/
bummed	/bʌmd/
post-holiday	/ˈpoʊst ˈhɑləˌdeɪ/
recommitment	/ˌriːkəˈmɪtmənt/
dateless	/ˈdeɪtləs/
unrivalled	/ʌnˈraɪvəld/
music-hall	/ˈmjuzɪk ˌhɔl/
fit-looking	/ˈfɪt ˈlʊkɪŋ/
unmodulated	/ʌnˈmɑdʒəˌleɪtɪd/
heavy-footed	/ˈhɛvi ˈfʊtɪd/
mesmeric	/mɛzˈmɛrɪk/
revitalizing	/ˌriːˈvaɪtəˌlaɪzɪŋ/
five-footer	/ˈfaɪvˈfʊtər/
waywardness	/ˈweɪwərdnəs/
team-teaching	/ˈtiːm ˈtiːtʃɪŋ/
parafoil	/ˈpærəˌfɔɪl/
parenchyma	/pəˈrɛŋkɪmə/
coffeecake	/ˈkɔfiˌkeɪk/
overbooked	/ˌoʊvərˈbʊkt/
concuss	/kənˈkʌs/
multi-axis	/ˈmʌlti ˈæksɪs/
jazzed	/dʒæzd/
thin-faced	/ˈθɪn ˈfeɪst/
palmful	/ˈpɑmˌfʊl/
camel's-hair	/ˈkæməlz ˈhɛr/
top-four	/ˈtɑp ˈfɔr/
hatmaker	/ˈhætˌmeɪkər/
management-consulting	/ˈmænɪdʒmənt kənˈsʌltɪŋ/
tail-end	/ˈteɪl ˈɛnd/
lip-syncing	/ˈlɪp ˈsɪŋkɪŋ/
dichotomization	/daɪˌkɑtəmɪˈzeɪʃən/
five-nation	/ˈfaɪv ˈneɪʃən/
hindered	/ˈhɪndərd/
ten-fifteen	/ˌtɛnˈfɪfˈtiːn/
sceptic	/ˈskɛptɪk/
pre-holiday	/ˈpriː ˈhɑləˌdeɪ/
revoked	/rɪˈvoʊkt/
ultra-efficient	/ˌʌltrəɪˈfɪʃənt/
clocking	/ˈklɑkɪŋ/
seven-fifty	/ˌsɛvənˈfɪfti/
steering-wheel	/ˈstɪrɪŋ ˌwiːl/
junior-high-school	/ˈdʒunjər ˈhaɪ ˌskul/
singable	/ˈsɪŋəbəl/
temperature-dependent	/ˈtɛmpərətʃər dɪˈpɛndənt/
home-delivery	/ˈhoʊm dɪˈlɪvəri/
end-of-semester	/ˈɛnd əv səˈmɛstər/
spicule	/ˈspɪkjuːl/
ever-improving	/ˈɛvər ɪmˈpruːvɪŋ/
rubber-like	/ˈrʌbərˌlaɪk/
inextinguishable	/ˌɪnɪkˈstɪŋɡwɪʃəbəl/
negligibly	/ˈnɛɡlɪdʒəbli/
dark-adapted	/ˈdɑrk əˈdæptɪd/
homeliness	/ˈhoʊmlɪnəs/
identity-based	/aɪˈdɛntɪti ˌbeɪst/
privatizer	/ˈpraɪvəˌtaɪzər/
sleepwear	/ˈsliːpˌwɛr/
consumer-directed	/kənˈsumər dɪˈrɛktɪd/
paid-up	/ˈpeɪdˈʌp/
family-focused	/ˈfæməli ˈfoʊkəst/
bandeau	/bænˈdoʊ/
birdy	/ˈbɜrdi/
if-then	/ˈɪfˈðɛn/
subnormal	/sʌbˈnɔrməl/
normal-weight	/ˈnɔrməl ˌweɪt/
carbon-free	/ˈkɑrbən ˈfriː/
grab-and-go	/ˈɡræb ənd ˈɡoʊ/
fleecing	/ˈfliːsɪŋ/
higher-dimensional	/ˈhaɪər dɪˈmɛnʃənəl/
robbin	/ˈrɑbɪn/
three-round	/ˈθriːˈraʊnd/
race-ready	/ˈreɪs ˈrɛdi/
trimaran	/ˈtraɪməˌræn/
coronary-artery	/ˈkɔrəˌnɛri ˈɑrtəri/
risk-reducing	/ˈrɪsk rɪˈdusɪŋ/
prescription-only	/prɪˈskrɪpʃən ˈoʊnli/
bible-study	/ˈbaɪbəl ˌstʌdi/
conterminous	/kənˈtɜrmənəs/
dot-corn	/ˈdɑtˌkɔrn/
pre-training	/ˈpriː ˈtreɪnɪŋ/
anarchical	/ænˈɑrkɪkəl/
use-value	/ˈjus ˌvæljuː/
poor-performing	/ˈpʊr pərˈfɔrmɪŋ/
surplice	/ˈsɜrplɪs/
lindane	/ˈlɪnˌdeɪn/
biodynamics	/ˌbaɪoʊdaɪˈnæmɪks/
adsorbed	/ædˈsɔrbd/
non-conscious	/ˈnɑnˈkɑnʃəs/
spumoni	/spʊˈmoʊni/
disbarred	/dɪsˈbɑrd/
super-premium	/ˈsupər ˈprimɪəm/
relacion	/reɪˈlɑːsiˌoʊn/
pro-arab	/ˈproʊ ˈærəb/
independent-counsel	/ˌɪndɪˈpɛndənt ˈkaʊnsəl/
galactosemia	/ɡəˌlæktoʊˈsiːmiə/
electrocautery	/ɪˌlɛktroʊˈkɔtəri/
preconditioning	/ˌpriːkənˈdɪʃənɪŋ/
blepharitis	/ˌblɛfəˈraɪtɪs/
undescended	/ˌʌndɪˈsɛndɪd/
maleficent	/məˈlɛfɪsənt/
peroneal	/ˌpɛroʊˈniːəl/
beechwood	/ˈbiːtʃˌwʊd/
epizootic	/ˌɛpɪzoʊˈɑtɪk/
numbskull	/ˈnʌmˌskʌl/
ancestress	/ˈænsɛstrɛs/
intactness	/ɪnˈtæktnəs/
histoplasmosis	/ˌhɪstoʊplæzˈmoʊsɪs/
drug-enforcement	/ˈdrʌɡ ɪnˈfɔrsmənt/
microstructural	/ˌmaɪkroʊˈstrʌktʃərəl/
plena	/ˈplɛnə/
cowry	/ˈkaʊri/
trypsin	/ˈtrɪpsɪn/
double-action	/ˈdʌbəl ˈækʃən/
locater	/ˈloʊˌkeɪtər/
point-source	/ˈpɔɪnt ˌsɔrs/
nurse-midwife	/ˈnɜrs ˈmɪdˌwaɪf/
protein-based	/ˈproʊˌtiːn ˈbeɪst/
ultra-nationalist	/ˈʌltrə ˈnæʃənəlɪst/
greek-turkish	/ˈɡriːk ˈtɜrkɪʃ/
triple-bogey	/ˈtrɪpəl ˈboʊɡi/
ret	/rɛt/
tax-shelter	/ˈtæks ˈʃɛltər/
canonic	/kəˈnɑnɪk/
eff	/ɛf/
maxed-out	/ˈmækst ˈaʊt/
f-ratio	/ˈɛf ˈreɪʃioʊ/
hoar	/hɔr/
taconite	/ˈtækəˌnaɪt/
sweet-hot	/ˈswitˈhɑt/
fire-prone	/ˈfaɪər ˈproʊn/
lumper	/ˈlʌmpər/
cassia	/ˈkæsiə/
snow-removal	/ˈsnoʊ rɪˈmuːvəl/
red-blue	/ˈrɛd ˈbluː/
perjured	/ˈpɜrdʒərd/
appian	/ˈæpiən/
lavender-scented	/ˈlævəndər ˈsɛntɪd/
netiquette	/ˈnɛtɪˌkɛt/
hoyden	/ˈhɔɪdən/
ejaculatory	/ɪˈdʒækjəˌleɪtəri/
ski-town	/ˈskiːˌtaʊn/
majority-white	/məˈdʒɔrəti ˈwaɪt/
muesli	/ˈmjuːzli/
hedged	/hɛdʒd/
one-to-many	/ˌwʌn tə ˈmɛni/
mamluk	/ˈmæmlʊk/
low-load	/ˈloʊˈloʊd/
cowled	/kaʊld/
chairback	/ˈtʃɛrˌbæk/
schoolmistress	/ˈskulˌmɪstrɪs/
enoki	/ɪˈnoʊki/
five-foot-high	/ˈfaɪvˈfʊtˈhaɪ/
unpermitted	/ˌʌnpərˈmɪtɪd/
women-specific	/ˈwɪmɪn spəˈsɪfɪk/
eight-part	/ˈeɪtˈpɑrt/
collectivize	/kəˈlɛktɪˌvaɪz/
low-to-moderate	/ˌloʊ tə ˈmɑdərɪt/
brevet	/brəˈvɛt/
yellowy	/ˈjɛloʊi/
seismological	/ˌsaɪzməˈlɑdʒɪkəl/
septet	/sɛpˈtɛt/
celeriac	/səˈlɛriˌæk/
musical-comedy	/ˈmjuzɪkəl ˈkɑmədi/
weak-side	/ˈwiːkˈsaɪd/
periodontist	/ˌpɛrioʊˈdɑntɪst/
doeskin	/ˈdoʊˌskɪn/
middle-eastern	/ˈmɪdəl ˈiːstərn/
placeless	/ˈpleɪsləs/
gassed	/ɡæst/
blank-eyed	/ˈblæŋk ˈaɪd/
abusiveness	/əˈbjuːsɪvnəs/
load-carrying	/ˈloʊd ˈkæriɪŋ/
checkoff	/ˈtʃɛkˌɔf/
checkable	/ˈtʃɛkəbəl/
representable	/ˌrɛprɪˈzɛntəbəl/
stableboy	/ˈsteɪbəlˌbɔɪ/
carthusian	/kɑrˈθuːʒən/
strophe	/ˈstroʊfi/
parricide	/ˈpærɪˌsaɪd/
aplenty	/əˈplɛnti/
note-taker	/ˈnoʊt ˌteɪkər/
two-finger	/ˈtuːˈfɪŋɡər/
non-electronic	/ˌnɑnɪˌlɛkˈtrɑnɪk/
two-percent	/ˈtuː pərˈsɛnt/
impudently	/ˈɪmpjədəntli/
hymnbook	/ˈhɪmˌbʊk/
red-flag	/ˈrɛdˈflæɡ/
fast-developing	/ˈfæst dɪˈvɛləpɪŋ/
fakir	/fəˈkɪr/
university-affiliated	/ˌjunɪˈvɜrsɪti əˈfɪlieɪtɪd/
then-wife	/ˈðɛnˈwaɪf/
swooning	/ˈswunɪŋ/
city-bred	/ˈsɪti ˈbrɛd/
unexpurgated	/ˌʌnˈɛkspərˌɡeɪtɪd/
grab-bag	/ˈɡræbˌbæɡ/
non-genetic	/ˈnɑn dʒəˈnɛtɪk/
v-necked	/ˈviːˈnɛkt/
unseeable	/ʌnˈsiːəbəl/
single-year	/ˈsɪŋɡəl ˈjɪr/
pudding-like	/ˈpʊdɪŋˌlaɪk/
closed-up	/ˌkloʊzdˈʌp/
imperially	/ɪmˈpɪriəli/
rottenness	/ˈrɑːtnəs/
kiln-dried	/ˈkɪlnˌdraɪd/
proctologist	/prɑːkˈtɑːlədʒɪst/
per-unit	/pɜːrˈjuːnɪt/
beak-like	/ˈbiːkˌlaɪk/
county-by-county	/ˈkaʊnti baɪ ˈkaʊnti/
roughened	/ˈrʌfənd/
backlighting	/ˈbækˌlaɪtɪŋ/
undesirability	/ˌʌndɪˌzaɪərəˈbɪləti/
odiferous	/ˈoʊdɪfərəs/
outfitting	/ˈaʊtˌfɪtɪŋ/
low-tide	/ˌloʊˈtaɪd/
compatibly	/kəmˈpætəbli/
thirty-some	/ˈθɜːrtiˌsʌm/
iranian-style	/ɪˈreɪniənˌstaɪl/
blurriness	/ˈblɜːrinəs/
sober-minded	/ˌsoʊbərˈmaɪndɪd/
dishevelment	/dɪˈʃɛvəlmənt/
mortadella	/ˌmɔːrtəˈdɛlə/
lasciviousness	/ˌlæsˈsɪviəsnəs/
enchantingly	/ɪnˈtʃæntɪŋli/
lugubriously	/lʊˈɡuːbriəsli/
cajolery	/kəˈdʒoʊləri/
hollowing	/ˈhɑːloʊɪŋ/
blanketed	/ˈblæŋkɪtɪd/
subcontinental	/ˌsʌbˌkɑːntɪˈnɛntl/
shadeless	/ˈʃeɪdləs/
copacetic	/ˌkoʊpəˈsɛtɪk/
sellable	/ˈsɛləbl/
left/right	/ˌlɛftˈraɪt/
beggarly	/ˈbɛɡərli/
seventy-eight-year-old	/ˌsɛvəntiˌeɪtˈjɪrˌoʊld/
newshound	/ˈnuːzˌhaʊnd/
blow-off	/ˈbloʊˌɔf/
punkish	/ˈpʌŋkɪʃ/
budget-priced	/ˈbʌdʒɪtˌpraɪst/
economy-size	/ɪˈkɑːnəmiˌsaɪz/
sex-obsessed	/ˈsɛks əbˌsɛst/
finalization	/ˌfaɪnələˈzeɪʃən/
well-compensated	/ˌwɛlˈkɑːmpənˌseɪtɪd/
passkey	/ˈpæsˌkiː/
notified	/ˈnoʊtɪfaɪd/
co-organizer	/ˌkoʊˈɔːrɡəˌnaɪzər/
coffee-growing	/ˈkɔːfiˌɡroʊɪŋ/
great-great-grandfather	/ˌɡreɪtˌɡreɪtˈɡrænˌfɑːðər/
jump-rope	/ˈdʒʌmpˌroʊp/
mislabeled	/ˌmɪsˈleɪbəld/
container-grown	/kənˈteɪnərˌɡroʊn/
video-rental	/ˈvɪdioʊˌrɛntl/
high-sensitivity	/ˌhaɪˌsɛnsəˈtɪvəti/
whomsoever	/ˌhuːmsoʊˈɛvər/
solecism	/ˈsɑːləˌsɪzəm/
aeronautic	/ˌɛrəˈnɔːtɪk/
bricklaying	/ˈbrɪkˌleɪɪŋ/
chart-topper	/ˈtʃɑːrtˌtɑːpər/
fussbudget	/ˈfʌsˌbʌdʒɪt/
narcoleptic	/ˌnɑːrkəˈlɛptɪk/
wave-table	/ˈweɪvˌteɪbl/
sculptress	/ˈskʌlptrəs/
cha-cha-cha	/ˈtʃɑːˌtʃɑːˌtʃɑː/
muncher	/ˈmʌntʃər/
sounded	/ˈsaʊndɪd/
ricocheting	/ˌrɪkəˈʃeɪɪŋ/
discouragingly	/dɪsˈkɜːrɪdʒɪŋli/
fancy-free	/ˌfænsiˈfriː/
hectoring	/ˈhɛktərɪŋ/
eight-ounce	/ˌeɪtˈaʊns/
dry-cleaner	/ˈdraɪˌkliːnər/
doltish	/ˈdoʊltɪʃ/
egotistic	/ˌiːɡəˈtɪstɪk/
tularemia	/ˌtuːləˈriːmiə/
homodiegetic	/ˌhoʊmoʊˌdaɪəˈdʒɛtɪk/
goodwife	/ˈɡʊdˌwaɪf/
private-pay	/ˈpraɪvətˌpeɪ/
purple-leaved	/ˈpɜːrplˌliːvd/
literalization	/ˌlɪtərələˈzeɪʃən/
picture-in-picture	/ˌpɪktʃər ɪn ˈpɪktʃər/
self-advocacy	/ˌsɛlfˈædvəkəsi/
change-of-address	/ˌtʃeɪndʒ əv əˈdrɛs/
pay-tv	/ˈpeɪˌtiːˈviː/
disease-prevention	/dɪˈziːz prɪˈvɛnʃən/
spare-parts	/ˈspɛrˌpɑːrts/
gilt-bronze	/ˈɡɪltˌbrɑːnz/
early-1900s	/ˌɜːrliˌnaɪˈtiːnˈhʌndrədz/
power-supply	/ˈpaʊər səˌplaɪ/
post-revolution	/ˌpoʊstˌrɛvəˈluːʃən/
groundstroke	/ˈɡraʊndˌstroʊk/
hydroquinone	/ˌhaɪdroʊˈkwɪnoʊn/
time-related	/ˈtaɪm rɪˌleɪtɪd/
metacarpal	/ˌmɛtəˈkɑːrpəl/
tongueless	/ˈtʌŋɡləs/
puissant	/ˈpwiːsənt/
trodden	/ˈtrɑːdn/
saloon-keeper	/səˈluːnˌkiːpər/
one-upsmanship	/ˌwʌnˈʌpsmənˌʃɪp/
erasing	/ɪˈreɪsɪŋ/
hot-rodder	/ˈhɑːtˌrɑːdər/
oneiric	/oʊˈnaɪrɪk/
low-productivity	/ˌloʊˌproʊdʌkˈtɪvəti/
generalizing	/ˈdʒɛnərəˌlaɪzɪŋ/
great-granddaddy	/ˌɡreɪtˈɡrænˌdædi/
open-country	/ˌoʊpənˈkʌntri/
non-royal	/ˌnɑːnˈrɔɪəl/
four-beat	/ˈfɔːrˌbiːt/
emend	/iˈmɛnd/
water-loving	/ˈwɔːtərˌlʌvɪŋ/
fifty-yard	/ˈfɪftiˌjɑːrd/
paratactic	/ˌpærəˈtæktɪk/
third-order	/ˈθɜːrdˌɔːrdər/
sight-size	/ˈsaɪtˌsaɪz/
textualized	/ˈtɛkstʃuəˌlaɪzd/
cop-killer	/ˈkɑːpˌkɪlər/
titi	/ˈtiːtiː/
massaged	/məˈsɑːʒd/
capellini	/ˌkæpəˈliːni/
nicked	/ˈnɪkt/
poopy	/ˈpuːpi/
division-leading	/dɪˈvɪʒənˌliːdɪŋ/
opposite-field	/ˈɑːpəzɪtˌfiːld/
born-and-bred	/ˌbɔːrn ənd ˈbrɛd/
hydrogen-alpha	/ˈhaɪdrədʒən ˈælfə/
reveller	/ˈrɛvələr/
sparsity	/ˈspɑːrsəti/
reseat	/ˌriːˈsiːt/
determinacy	/dɪˈtɜːrmɪnəsi/
military-dominated	/ˌmɪlɪˌtɛriˈdɑːmɪˌneɪtɪd/
hellhound	/ˈhɛlˌhaʊnd/
death's-head	/ˈdɛθsˌhɛd/
unsaddled	/ʌnˈsædld/
four-four	/ˈfɔːrˈfɔːr/
lanthanum	/ˈlænθənəm/
secondary-level	/ˌsɛkənˌdɛriˈlɛvl/
rural/urban	/ˈrʊrəlˈɜːrbən/
routed	/ˈraʊtɪd/
old-man	/ˈoʊldˌmæn/
cold-rolled	/ˌkoʊldˈroʊld/
quiltmaker	/ˈkwɪltˌmeɪkər/
down-payment	/ˈdaʊnˌpeɪmənt/
taurine	/ˈtɔːriːn/
destruct	/dɪˈstrʌkt/
inadvertence	/ˌɪnədˈvɜːrtəns/
crowd-control	/ˈkraʊd kənˌtroʊl/
much-quoted	/ˌmʌtʃˈkwoʊtɪd/
dark-rimmed	/ˈdɑːrkˌrɪmd/
insect-borne	/ˈɪnsɛktˌbɔːrn/
unfurled	/ʌnˈfɜːrld/
pomade	/pɑːˈmeɪd/
base-level	/ˈbeɪsˌlɛvl/
complacence	/kəmˈpleɪsəns/
non-story	/ˈnɑːnˌstɔːri/
entrapped	/ɪnˈtræpt/
well-reviewed	/ˌwɛl rɪˈvjuːd/
blue-and-green	/ˌbluː ənd ˈɡriːn/
burnt-orange	/ˈbɜːrnt ˈɔːrɪndʒ/
rust-belt	/ˈrʌstˌbɛlt/
durably	/ˈdʊrəbli/
case-specific	/ˈkeɪs spəˈsɪfɪk/
revanchist	/rɪˈvænʃɪst/
pre-written	/ˌpriːˈrɪtn/
ginger-haired	/ˈdʒɪndʒərˌhɛrd/
buzzer-beating	/ˈbʌzərˌbiːtɪŋ/
problem-plagued	/ˈprɑːbləmˌpleɪɡd/
six-fifty	/ˈsɪksˈfɪfti/
tax-related	/ˈtæks rɪˌleɪtɪd/
work-release	/ˈwɜːrk rɪˌliːs/
husky-voiced	/ˈhʌskiˌvɔɪst/
doom-and-gloom	/ˌduːm ənd ˈɡluːm/
half-wild	/ˌhæfˈwaɪld/
untruthfully	/ʌnˈtruːθfəli/
oxygen-starved	/ˈɑːksɪdʒənˌstɑːrvd/
hitlerian	/hɪˈtlɪriən/
premium-priced	/ˈpriːmiəmˌpraɪst/
cold-climate	/ˈkoʊldˌklaɪmət/
coloristic	/ˌkʌləˈrɪstɪk/
anti-homosexual	/ˌæntiˌhoʊməˈsɛksjuəl/
blabbermouth	/ˈblæbərmaʊθ/
half-cooked	/ˌhæfˈkʊkt/
transcending	/trænˈsɛndɪŋ/
high-wattage	/ˈhaɪˌwɑːtɪdʒ/
supernal	/suːˈpɜːrnəl/
box-shaped	/ˈbɑːksˌʃeɪpt/
exterior-grade	/ɪkˈstɪriərˌɡreɪd/
lower-than-average	/ˌloʊər ðən ˈævərɪdʒ/
four-foot-tall	/ˈfɔːrˌfʊtˈtɔːl/
still-standing	/ˌstɪlˈstændɪŋ/
less-efficient	/ˌlɛsɪˈfɪʃənt/
limpness	/ˈlɪmpnəs/
mid-60	/ˌmɪdˈsɪksti/
portrayed	/pɔːrˈtreɪd/
primness	/ˈprɪmnəs/
radar-guided	/ˈreɪdɑːrˌɡaɪdɪd/
soapsuds	/ˈsoʊpˌsʌdz/
adenovirus	/ˌædɪnoʊˈvaɪrəs/
rennet	/ˈrɛnɪt/
sixty-five-year-old	/ˌsɪkstiˌfaɪvˈjɪrˌoʊld/
less-populated	/ˌlɛsˈpɑːpjəˌleɪtɪd/
hand-scrawled	/ˈhændˌskrɔːld/
cliff-hanger	/ˈklɪfˌhæŋər/
pixelated	/ˈpɪksəˌleɪtɪd/
drogue	/droʊɡ/
avulsion	/əˈvʌlʃən/
collocation	/ˌkɑːləˈkeɪʃən/
trailerable	/ˈtreɪlərəbl/
non-coercive	/ˌnɑːnkoʊˈɜːrsɪv/
housemother	/ˈhaʊsˌmʌðər/
orienteer	/ˌɔːriənˈtɪr/
callaloo	/ˌkæləˈluː/
semi-urban	/ˌsɛmiˈɜːrbən/
oceanarium	/ˌoʊʃəˈnɛriəm/
conjointly	/kənˈdʒɔɪntli/
matchstick-size	/ˈmætʃˌstɪkˌsaɪz/
blue-suited	/ˈbluːˌsuːtɪd/
assessable	/əˈsɛsəbl/
physico-chemical	/ˌfɪzɪkoʊˈkɛmɪkl/
serb-led	/ˈsɜːrbˌlɛd/
centrifugation	/ˌsɛntrɪfjʊˈɡeɪʃən/
then-record	/ˈðɛnˌrɛkərd/
coffee-flavored	/ˈkɔːfiˌfleɪvərd/
unhelpfully	/ʌnˈhɛlpfəli/
prophylactically	/ˌproʊfɪˈlæktɪkli/
well-supplied	/ˌwɛl səˈplaɪd/
wholly-owned	/ˌhoʊliˈoʊnd/
briskness	/ˈbrɪsknəs/
ostracized	/ˈɑːstrəˌsaɪzd/
rabble-rousing	/ˈræblˌraʊzɪŋ/
wickedest	/ˈwɪkɪdɪst/
backlogged	/ˈbækˌlɔːɡd/
much-sought-after	/ˌmʌtʃˈsɔːtˌæftər/
