the	["the"]
best-organized	["best", "'or", "gan", "ized"]
sewage-treatment	["'sew", "age", "'treat", "ment"]
better-equipped	["'bet", "ter", "e", "'quipped"]
sun-soaked	["sun", "soaked"]
diktat	["'dik", "tat"]
unfeigned	["un", "feigned"]
dissecting	["di", "'sec", "ting"]
flaxen-haired	["'flax", "en", "haired"]
mundanity	["mun", "'dan", "i", "ty"]
sung	["sung"]
still-living	["still", "'liv", "ing"]
intermingled	["in", "ter", "'min", "gled"]
reassured	["re", "as", "'sured"]
mid-1900s	["mid", "nine", "'teen", "hun", "dreds"]
self-invention	["self", "in", "'ven", "tion"]
finalized	["'fi", "nal", "ized"]
independence-minded	["in", "de", "'pen", "dence", "'min", "ded"]
stacker	["'stack", "er"]
insulin-producing	["'in", "su", "lin", "pro", "'du", "cing"]
vileness	["'vile", "ness"]
out-of-area	["out", "of", "'a", "re", "a"]
tax-preparation	["tax", "pre", "pa", "'ra", "tion"]
age-grade	["age", "grade"]
impassivity	["im", "pas", "'siv", "i", "ty"]
dvd-rom	["dvd", "rom"]
denotative	["de", "'no", "ta", "tive"]
catarrh	["ca", "'tarrh"]
nucleated	["'nu", "cle", "a", "ted"]
epitope	["'ep", "i", "tope"]
rebuttable	["re", "'but", "ta", "ble"]
acequia	["a", "'ce", "qui", "a"]
hornbeam	["'horn", "beam"]
ultra-violent	["'ul", "tra", "'vi", "o", "lent"]
submergence	["sub", "'mer", "gence"]
overdetermined	["'o", "ver", "de", "'ter", "mined"]
effectually	["ef", "'fec", "tu", "al", "ly"]
out-of-this-world	["out", "of", "this", "world"]
french-american	["french", "a", "'mer", "i", "can"]
feebleness	["'fee", "ble", "ness"]
abnegation	["ab", "ne", "'ga", "tion"]
jaggedly	["'jag", "ged", "ly"]
influence-peddling	["'in", "flu", "ence", "'ped", "dling"]
public-safety	["'pub", "lic", "'safe", "ty"]
indigence	["'in", "di", "gence"]
dangerous-looking	["'dan", "ger", "ous", "'look", "ing"]
fussily	["'fus", "si", "ly"]
force-feeding	["force", "'feed", "ing"]
three-wheeler	["three", "'whee", "ler"]
hypercalcemia	["hy", "per", "cal", "'ce", "mi", "a"]
superorganism	["'su", "per", "'or", "gan", "ism"]
free-time	["free", "time"]
peonage	["'pe", "o", "nage"]
earworm	["'ear", "worm"]
maharishi	["ma", "ha", "'ri", "shi"]
craftsman-style	["'crafts", "man", "style"]
fabric-covered	["'fab", "ric", "'cov", "ered"]
field-test	["field", "test"]
trackside	["'track", "side"]
yardarm	["'yard", "arm"]
technocracy	["tech", "'noc", "ra", "cy"]
denial-of-service	["de", "'ni", "al", "of", "'ser", "vice"]
tri-colored	["'tri", "'col", "ored"]
gun-free	["gun", "free"]
instructionally	["in", "'struc", "tion", "al", "ly"]
everydayness	["'ev", "er", "y", "day", "ness"]
double-walled	["'dou", "ble", "walled"]
clericalism	["'cler", "i", "cal", "ism"]
positioner	["po", "'si", "tion", "er"]
daily-fee	["'dai", "ly", "fee"]
broker-dealer	["'bro", "ker", "'deal", "er"]
versification	["ver", "si", "fi", "'ca", "tion"]
androcentric	["an", "dro", "'cen", "tric"]
leghorn	["'leg", "horn"]
dog-tired	["dog", "'tired"]
klutzy	["'klut", "zy"]
pet-friendly	["pet", "'frien", "dly"]
pitbull	["'pit", "bull"]
sacrality	["sa", "'cral", "i", "ty"]
caucus-goer	["'cau", "cus", "'go", "er"]
myocardium	["my", "o", "'car", "di", "um"]
netter	["'net", "ter"]
tridentine	["tri", "'den", "tine"]
centralist	["'cen", "tral", "ist"]
molested	["mo", "'lest", "ed"]
extortionate	["ex", "'tor", "tion", "ate"]
just-opened	["just", "'o", "pened"]
good-news	["good", "news"]
raunch	["raunch"]
listenable	["'lis", "ten", "a", "ble"]
middle-ground	["'mid", "dle", "ground"]
levitating	["'lev", "i", "ta", "ting"]
double-dealing	["'dou", "ble", "'deal", "ing"]
breached	["breached"]
piled-up	["piled", "up"]
snobbishness	["'snob", "bish", "ness"]
reddish-purple	["'red", "dish", "'pur", "ple"]
non-secular	["non", "'sec", "u", "lar"]
hotfoot	["'hot", "foot"]
bone-weary	["bone", "'wea", "ry"]
shuttering	["'shut", "ter", "ing"]
stick-thin	["stick", "thin"]
tidepool	["'tide", "pool"]
teenybopper	["'tee", "ny", "'bop", "per"]
one-fiftieth	["one", "'fif", "ti", "eth"]
bawling	["'bawl", "ing"]
crosshairs	["'cross", "hairs"]
post-intervention	["post", "in", "ter", "'ven", "tion"]
tufa	["'tu", "fa"]
crockpot	["'crock", "pot"]
dorm-room	["dorm", "room"]
rakishly	["'ra", "kish", "ly"]
anti-foreign	["an", "ti", "'for", "eign"]
fin-de-siecle	["fin", "de", "'sie", "cle"]
fuzzily	["'fuz", "zi", "ly"]
two-hundred-year-old	["two", "'hun", "dred", "year", "old"]
misted	["'mis", "ted"]
mottle	["'mot", "tle"]
yellow-and-black	["'yel", "low", "and", "black"]
wintery	["'win", "ter", "y"]
girls-only	["girls", "'on", "ly"]
financial-planning	["fi", "'nan", "cial", "'plan", "ning"]
ride-on	["ride", "on"]
hesitatingly	["'hes", "i", "ta", "ting", "ly"]
detestation	["de", "tes", "'ta", "tion"]
tuition-free	["tu", "'i", "tion", "free"]
sacrificing	["'sac", "ri", "fi", "cing"]
tension-filled	["'ten", "sion", "filled"]
sparking	["'spar", "king"]
ex-governor	["ex", "'gov", "er", "nor"]
thane	["thane"]
propagator	["'prop", "a", "ga", "tor"]
overglaze	["'o", "ver", "glaze"]
loge	["loge"]
heavy-lift	["'heav", "y", "lift"]
post-trial	["post", "'tri", "al"]
muslim-majority	["'mus", "lim", "ma", "'jor", "i", "ty"]
well-spaced	["well", "spaced"]
ungloved	["un", "gloved"]
braless	["'bra", "less"]
special-operations	["'spe", "cial", "op", "er", "'a", "tions"]
unwired	["un", "'wired"]
pension-fund	["'pen", "sion", "fund"]
tech-heavy	["tech", "'heav", "y"]
townscape	["'town", "scape"]
psycho-spiritual	["psy", "cho", "'spir", "i", "tu", "al"]
petrine	["'pe", "trine"]
non-athlete	["non", "'ath", "lete"]
time-based	["time", "based"]
dark-complexioned	["dark", "com", "'plex", "ioned"]
electrophysiological	["e", "lec", "tro", "phys", "i", "o", "'log", "i", "cal"]
zoysia	["'zoi", "si", "a"]
commissariat	["com", "mis", "'sar", "i", "at"]
parthian	["'par", "thi", "an"]
phytolith	["'phy", "to", "lith"]
dahomean	["da", "'ho", "me", "an"]
teacher-initiated	["'tea", "cher", "in", "'i", "ti", "a", "ted"]
self-other	["self", "'oth", "er"]
autoimmunity	["au", "to", "im", "'mu", "ni", "ty"]
bounder	["'boun", "der"]
onliest	["'on", "li", "est"]
newsreader	["'news", "read", "er"]
rightmost	["'right", "most"]
ern	["ern"]
ad-free	["ad", "free"]
sheathed	["sheathed"]
hand-dyed	["hand", "dyed"]
depersonalized	["de", "'per", "son", "al", "ized"]
pre-event	["pre", "e", "'vent"]
insatiably	["in", "'sa", "tia", "bly"]
serialism	["'se", "ri", "al", "ism"]
light-reflecting	["light", "re", "'flec", "ting"]
supercharge	["'su", "per", "charge"]
school-record	["school", "'re", "cord"]
nitrogenous	["ni", "'tro", "ge", "nous"]
better-paid	["'bet", "ter", "paid"]
pro-russian	["pro", "'rus", "sian"]
ethnobotany	["eth", "no", "'bot", "a", "ny"]
fastest-selling	["'fas", "test", "'sel", "ling"]
non-empirical	["non", "em", "'pir", "i", "cal"]
flinders	["'flin", "ders"]
boo-hoo	["boo", "hoo"]
two-on-two	["two", "on", "two"]
purgative	["'pur", "ga", "tive"]
ten-gallon	["ten", "'gal", "lon"]
sapient	["'sa", "pi", "ent"]
quick-change	["quick", "change"]
snoot	["snoot"]
psychometrics	["psy", "cho", "'met", "rics"]
revenant	["'rev", "e", "nant"]
incorruptibility	["in", "cor", "rup", "ti", "'bil", "i", "ty"]
risk-reward	["risk", "re", "'ward"]
lighter-colored	["'li", "ghter", "'col", "ored"]
trash-can	["trash", "can"]
overdependence	["'o", "ver", "de", "'pen", "dence"]
better-informed	["'bet", "ter", "in", "'formed"]
fifty-two-year-old	["'fif", "ty", "two", "year", "old"]
mutagenic	["mu", "ta", "'gen", "ic"]
toiler	["'toi", "ler"]
down-market	["down", "'mar", "ket"]
emmy-nominated	["'em", "my", "'nom", "i", "na", "ted"]
trash-strewn	["trash", "strewn"]
village-based	["'vil", "lage", "based"]
sulking	["'sul", "king"]
slowpoke	["'slow", "poke"]
peeing	["'pee", "ing"]
flowy	["'flow", "y"]
well-conditioned	["well", "con", "'di", "tioned"]
downwardly	["'down", "ward", "ly"]
exclamatory	["ex", "'clam", "a", "to", "ry"]
intention-to-treat	["in", "'ten", "tion", "to", "treat"]
tetrahedron	["te", "tra", "'he", "dron"]
towline	["'tow", "line"]
estrous	["'es", "trous"]
carbohydrate-rich	["car", "bo", "'hy", "drate", "rich"]
lipped	["lipped"]
five-foot-tall	["five", "foot", "tall"]
neurotically	["nu", "ro", "'tic", "al", "ly"]
up-and-up	["up", "and", "up"]
triangular-shaped	["tri", "'an", "gu", "lar", "shaped"]
normativity	["nor", "ma", "'tiv", "i", "ty"]
surcoat	["'sur", "coat"]
dogfighting	["'dog", "figh", "ting"]
post-retirement	["post", "re", "'tire", "ment"]
percale	["per", "'cale"]
censoring	["'cen", "sor", "ing"]
articulatory	["ar", "'tic", "u", "la", "to", "ry"]
recounted	["re", "'coun", "ted"]
barbadian	["bar", "'ba", "di", "an"]
non-kosher	["non", "'ko", "sher"]
atman	["'at", "man"]
viviparous	["vi", "'vip", "a", "rous"]
downrigger	["'down", "rig", "ger"]
ticketless	["'tic", "ket", "less"]
beamy	["'bea", "my"]
meat-based	["meat", "based"]
pro-death	["pro", "death"]
excursus	["ex", "'cur", "sus"]
earth-centered	["earth", "'cen", "tered"]
five-run	["five", "run"]
conscripted	["con", "'scrip", "ted"]
remunerate	["re", "'mu", "ner", "ate"]
floorplan	["'floor", "plan"]
fibrotic	["fi", "'brot", "ic"]
ritualize	["'rit", "u", "al", "ize"]
two-three	["two", "three"]
thin-sliced	["thin", "sliced"]
pre-assembled	["pre", "a", "'sem", "bled"]
canvassing	["'can", "vas", "sing"]
whole-milk	["whole", "milk"]
oud	["oud"]
brusqueness	["'brus", "que", "ness"]
torched	["torched"]
moorland	["'moor", "land"]
inefficacy	["in", "ef", "'fi", "ca", "cy"]
multidrug-resistant	["mul", "ti", "drug", "re", "'zis", "tant"]
entablature	["en", "'tab", "la", "ture"]
deflator	["de", "'fla", "tor"]
lambada	["lam", "'ba", "da"]
semi-solid	["'sem", "i", "'sol", "id"]
trilling	["'tril", "ling"]
mischance	["mis", "'chance"]
hottest-selling	["'hot", "test", "'sel", "ling"]
teacher-pupil	["'tea", "cher", "'pu", "pil"]
heedlessness	["'heed", "less", "ness"]
cancelled	["'can", "celled"]
green-gold	["green", "gold"]
misplacement	["mis", "'place", "ment"]
puckery	["'puck", "er", "y"]
reddish-orange	["'red", "dish", "'or", "ange"]
higher-cost	["'hi", "gher", "cost"]
straightway	["'straight", "way"]
retrospection	["re", "tro", "'spec", "tion"]
cherry-picking	["'cher", "ry", "'pick", "ing"]
white-clad	["white", "clad"]
white-tablecloth	["white", "'ta", "ble", "cloth"]
gastronome	["'gas", "tro", "nome"]
hoopster	["'hoop", "ster"]
stadia	["'sta", "di", "a"]
butcher-block	["'butch", "er", "block"]
commandingly	["com", "'man", "ding", "ly"]
home-brewed	["home", "brewed"]
blue-painted	["blue", "'pain", "ted"]
ravel	["'rav", "el"]
well-matched	["well", "matched"]
lusciously	["'lush", "ious", "ly"]
truth-teller	["'truth", "'tel", "ler"]
steel-and-glass	["steel", "and", "glass"]
bracingly	["'bra", "cing", "ly"]
ground-hugging	["'ground", "'hug", "ging"]
biogenetic	["bi", "o", "ge", "'net", "ic"]
class-size	["class", "size"]
tetrahedral	["te", "tra", "'he", "dral"]
signal-processing	["'sig", "nal", "'pro", "ces", "sing"]
coal-bed	["coal", "bed"]
recalculation	["re", "cal", "cu", "'la", "tion"]
eleven-year	["e", "'lev", "en", "year"]
weaning	["'wean", "ing"]
factory-like	["'fac", "to", "ry", "like"]
purl	["purl"]
vulgarly	["'vul", "gar", "ly"]
delectably	["de", "'lec", "ta", "bly"]
post-christmas	["post", "'chris", "tmas"]
tunnel-like	["'tun", "nel", "like"]
crookedness	["'crook", "ed", "ness"]
flat-roofed	["flat", "roofed"]
mortgaged	["'mor", "tgaged"]
beheaded	["be", "'head", "ed"]
goose-stepping	["'goose", "'step", "ping"]
half-completed	["half", "com", "'ple", "ted"]
sleeved	["sleeved"]
circuitously	["cir", "'cui", "tous", "ly"]
craftiness	["'craf", "ti", "ness"]
higher-than-normal	["'hi", "gher", "than", "'nor", "mal"]
unstintingly	["un", "'stin", "ting", "ly"]
nonliberal	["non", "'lib", "er", "al"]
ethnic/racial	["'eth", "nic", "'ra", "cial"]
mid-2004	["mid", "two", "thou", "sand", "four"]
higher-fat	["'hi", "gher", "fat"]
pre-millennial	["pre", "mil", "'len", "ni", "al"]
voiceprint	["'voice", "print"]
forty-eighth	["'for", "ty", "'eighth"]
lift-served	["lift", "served"]
sandpit	["'sand", "pit"]
subcortical	["sub", "'cor", "ti", "cal"]
digital-to-analog	["'dig", "i", "tal", "to", "'an", "a", "log"]
non-historical	["non", "his", "'tor", "i", "cal"]
black/white	["black", "white"]
experience-based	["ex", "'pe", "ri", "ence", "based"]
malamute	["'mal", "a", "mute"]
korean-owned	["ko", "'re", "an", "owned"]
cracklings	["'crak", "lings"]
flippy	["flip", "py"]
graininess	["grai", "ni", "ness"]
fidgeting	["'fid", "get", "ing"]
nonce	["nonce"]
lavishness	["'lav", "ish", "ness"]
mamba	["'mam", "ba"]
squealer	["'squeal", "er"]
disposer	["dis", "'po", "ser"]
three-body	["three", "'bod", "y"]
ribavirin	["ri", "ba", "'vi", "rin"]
meridional	["me", "ri", "'di", "o", "nal"]
tearless	["'tear", "less"]
gamecock	["'game", "cock"]
crime-prevention	["crime", "pre", "'ven", "tion"]
four-cd	["four", "cd"]
honey-blond	["'hon", "ey", "blond"]
prototypically	["pro", "to", "'typ", "i", "cal", "ly"]
main-course	["'main", "course"]
team-first	["'team", "first"]
duelist	["'du", "el", "ist"]
bactericidal	["bac", "te", "ri", "'ci", "dal"]
pro-iraqi	["pro", "i", "'ra", "qi"]
free-flying	["'free", "fly", "ing"]
fungo	["'fun", "go"]
high-walled	["'high", "walled"]
anti-carcinogenic	["an", "ti", "car", "ci", "no", "'gen", "ic"]
vasculitis	["vas", "cu", "'li", "tis"]
computer-security	["com", "'pu", "ter", "se", "'cu", "ri", "ty"]
chasse	["chas", "se"]
apparat	["ap", "pa", "'rat"]
gestapo	["ge", "'sta", "po"]
fairgoer	["'fair", "go", "er"]
laterality	["lat", "er", "'al", "i", "ty"]
two-third	["two", "third"]
chartplotter	["'chart", "plot", "ter"]
allograft	["'al", "lo", "graft"]
female-to-male	["'fe", "male", "to", "'male"]
reconditioned	["re", "con", "'di", "tioned"]
nonagenarian	["no", "na", "ge", "'nar", "i", "an"]
biodiverse	["bi", "o", "di", "'verse"]
collation	["col", "'la", "tion"]
inflammable	["in", "'flam", "ma", "ble"]
moss-green	["'moss", "green"]
tax-writing	["'tax", "wri", "ting"]
enjoyably	["en", "'joy", "a", "bly"]
newsgathering	["'news", "ga", "ther", "ing"]
v-shape	["v", "shape"]
comber	["'com", "ber"]
palm-fringed	["'palm", "fringed"]
sparing	["'spar", "ing"]
moon-like	["'moon", "like"]
amusement-park	["a", "'muse", "ment", "park"]
hyper-vigilant	["hy", "per", "'vig", "i", "lant"]
second-youngest	["'sec", "ond", "'young", "est"]
decertify	["de", "'cer", "ti", "fy"]
cloth-bound	["'cloth", "bound"]
seismology	["seis", "'mol", "o", "gy"]
fishwife	["'fish", "wife"]
conic	["'con", "ic"]
same-size	["'same", "size"]
unforgivably	["un", "for", "'giv", "a", "bly"]
red-clay	["'red", "clay"]
three-state	["three", "state"]
skirted	["'skirt", "ed"]
bushy-tailed	["'bush", "y", "tailed"]
license-plate	["'li", "cense", "plate"]
postage-stamp	["'post", "age", "stamp"]
piggish	["'pig", "gish"]
self-hating	["'self", "ha", "ting"]
first-edition	["'first", "e", "'di", "tion"]
drag-and-drop	["'drag", "and", "drop"]
mezzotint	["'mez", "zo", "tint"]
apposition	["ap", "po", "'si", "tion"]
mudflow	["'mud", "flow"]
cryonics	["cry", "'on", "ics"]
gin-and-tonic	["'gin", "and", "'ton", "ic"]
exigence	["'ex", "i", "gence"]
jacketed	["'jack", "et", "ed"]
geomorphological	["ge", "o", "mor", "pho", "'log", "i", "cal"]
foolscap	["'fool", "scap"]
heideggerian	["'hei", "deg", "ger", "i", "an"]
full-season	["'full", "sea", "son"]
sabra	["'sa", "bra"]
low-order	["'low", "or", "der"]
eighteen-year	["'eigh", "teen", "year"]
haematological	["he", "ma", "to", "'log", "i", "cal"]
zaibatsu	["zai", "'bat", "su"]
lateralization	["lat", "er", "al", "i", "'za", "tion"]
team-by-team	["'team", "by", "'team"]
two-cycle	["two", "'cy", "cle"]
hospitably	["'hos", "pi", "ta", "bly"]
worn-down	["'worn", "down"]
quasi-independent	["qua", "si", "in", "de", "'pen", "dent"]
time-traveling	["'time", "trav", "el", "ing"]
family-like	["'fam", "i", "ly", "like"]
right-brain	["'right", "brain"]
scoffer	["'scof", "fer"]
solicited	["so", "'lic", "it", "ed"]
two-syllable	["two", "'syl", "la", "ble"]
aired	["'aired"]
yellow-brick	["'yel", "low", "brick"]
tauntingly	["'taunt", "ing", "ly"]
weight-conscious	["'weight", "'con", "scious"]
red-tile	["'red", "tile"]
misconceived	["mis", "con", "'ceived"]
sweet-talking	["'sweet", "talk", "ing"]
over-optimistic	["o", "ver", "op", "ti", "'mis", "tic"]
styled	["'styled"]
career-making	["ca", "'reer", "ma", "king"]
desecrated	["'des", "e", "cra", "ted"]
plasterboard	["'plas", "ter", "board"]
allurement	["al", "'lure", "ment"]
stair-step	["'stair", "step"]
brushwood	["'brush", "wood"]
edibility	["ed", "i", "'bil", "i", "ty"]
architrave	["'ar", "chi", "trave"]
lounger	["'loun", "ger"]
granularity	["gran", "u", "'lar", "i", "ty"]
justifying	["'jus", "ti", "fy", "ing"]
tomato-basil	["to", "'ma", "to", "'ba", "sil"]
windsock	["'wind", "sock"]
short-grass	["'short", "grass"]
ghettoization	["ghet", "to", "i", "'za", "tion"]
poppet	["'pop", "pet"]
time-varying	["'time", "var", "y", "ing"]
quenelle	["que", "'nelle"]
biomolecular	["bi", "o", "mo", "'lec", "u", "lar"]
table-tennis	["'ta", "ble", "'ten", "nis"]
internal/external	["in", "'ter", "nal", "ex", "'ter", "nal"]
sixtyish	["'six", "ty", "ish"]
travois	["tra", "'vois"]
iodized	["'i", "o", "dized"]
wide-mouth	["'wide", "mouth"]
non-preferred	["non", "pre", "'ferred"]
nine-county	["'nine", "coun", "ty"]
end-times	["'end", "times"]
cultural-historical	["'cul", "tur", "al", "his", "'tor", "i", "cal"]
endoscopically	["en", "do", "'scop", "i", "cal", "ly"]
urban-industrial	["'ur", "ban", "in", "'dus", "tri", "al"]
haplotype	["'hap", "lo", "type"]
clubfoot	["'club", "foot"]
deathtrap	["'death", "trap"]
perineal	["per", "i", "'ne", "al"]
akkadian	["a", "'ka", "di", "an"]
arthroscopy	["ar", "'thros", "co", "py"]
pro-china	["pro", "'chi", "na"]
nephropathy	["ne", "'phrop", "a", "thy"]
millwright	["'mill", "wright"]
ecosphere	["'e", "co", "sphere"]
churchwoman	["'church", "wom", "an"]
countable	["'coun", "ta", "ble"]
rear-window	["'rear", "win", "dow"]
shambling	["'sham", "bling"]
retrogressive	["re", "tro", "'gres", "sive"]
antimacassar	["an", "ti", "ma", "'cas", "sar"]
russian-built	["'rus", "sian", "built"]
indian-american	["'in", "di", "an", "a", "'mer", "i", "can"]
browning	["'brow", "ning"]
cagily	["'ca", "gi", "ly"]
disease-specific	["di", "'sease", "spe", "'cif", "ic"]
promoted	["pro", "'mo", "ted"]
levantine	["le", "'van", "tine"]
bargain-hunting	["'bar", "gain", "hun", "ting"]
anal-retentive	["'a", "nal", "re", "'ten", "tive"]
pre-designed	["pre", "de", "'signed"]
middle-of-the-pack	["'mid", "dle", "of", "the", "pack"]
bootlegged	["'boot", "legged"]
satellite-guided	["'sat", "el", "lite", "'guid", "ed"]
stock-taking	["'stock", "ta", "king"]
sapiential	["sa", "pi", "'en", "tial"]
high-iq	["'high", "i", "q"]
vicuna	["vi", "'cu", "na"]
sixth-place	["'sixth", "place"]
dumb-ass	["'dumb", "ass"]
glassful	["'glass", "ful"]
tach	["tach"]
tortious	["'tor", "tious"]
inter-individual	["in", "ter", "in", "di", "'vid", "u", "al"]
chipboard	["'chip", "board"]
sand-blasted	["'sand", "blast", "ed"]
dentition	["den", "'ti", "tion"]
exoteric	["ex", "o", "'ter", "ic"]
vitalism	["'vi", "tal", "ism"]
ola	["'o", "la"]
ethno-political	["eth", "no", "po", "'lit", "i", "cal"]
vascularity	["vas", "cu", "'lar", "i", "ty"]
nonconsumptive	["non", "con", "'sump", "tive"]
doohickey	["'doo", "hick", "ey"]
multi-storied	["'mul", "ti", "'stor", "ied"]
derringer	["'der", "rin", "ger"]
black-bearded	["'black", "bear", "ded"]
rod-shaped	["'rod", "shaped"]
underskirt	["'un", "der", "skirt"]
extended-cab	["ex", "'ten", "ded", "cab"]
reflectiveness	["re", "flec", "'tive", "ness"]
puissance	["'pui", "ssance"]
ex-kgb	["ex", "k", "g", "b"]
challengingly	["'chal", "len", "ging", "ly"]
grapeseed	["'grape", "seed"]
concretization	["con", "cre", "ti", "'za", "tion"]
protoplanet	["'pro", "to", "plan", "et"]
professorate	["pro", "'fes", "sor", "ate"]
intra-abdominal	["in", "tra", "ab", "'dom", "i", "nal"]
quarried	["'quar", "ried"]
self-anointed	["self", "a", "'noint", "ed"]
scandal-plagued	["'scan", "dal", "plagued"]
shrewish	["'shrew", "ish"]
bastardized	["'bas", "tar", "dized"]
frescoed	["'fres", "coed"]
plunderer	["'plun", "der", "er"]
solid-looking	["'sol", "id", "look", "ing"]
cellophane-wrapped	["'cel", "lo", "phane", "wrapped"]
inveigle	["in", "'vei", "gle"]
housebroken	["'house", "bro", "ken"]
marble-floored	["'mar", "ble", "floored"]
sycophancy	["'sy", "co", "phan", "cy"]
posterboard	["'pos", "ter", "board"]
piquancy	["'pi", "quan", "cy"]
grilled-cheese	["'grilled", "cheese"]
army-issue	["'ar", "my", "'is", "sue"]
butter-yellow	["'but", "ter", "'yel", "low"]
surpassing	["sur", "'pass", "ing"]
quick-draw	["'quick", "draw"]
mobbed	["'mobbed"]
penurious	["pe", "'nu", "ri", "ous"]
paraphrased	["'par", "a", "phrased"]
unearthing	["un", "'earth", "ing"]
headlined	["'head", "lined"]
coalescing	["co", "a", "'les", "cing"]
eye-level	["'eye", "lev", "el"]
zebra-striped	["'ze", "bra", "striped"]
aerobatics	["a", "er", "o", "'bat", "ics"]
mitered	["'mi", "ter", "ed"]
saponin	["'sap", "o", "nin"]
annealing	["an", "'neal", "ing"]
low-vision	["'low", "vi", "sion"]
tantalum	["'tan", "ta", "lum"]
collaborationist	["col", "lab", "o", "ra", "'tion", "ist"]
jewish-arab	["'jew", "ish", "'ar", "ab"]
myringotomy	["my", "rin", "'got", "o", "my"]
unwinding	["un", "'wind", "ing"]
clumping	["'clump", "ing"]
quark-gluon	["'quark", "glu", "on"]
life-supporting	["'life", "sup", "'port", "ing"]
paleo-indian	["'pa", "le", "o", "'in", "di", "an"]
nuclearization	["nu", "cle", "ar", "i", "'za", "tion"]
higher-energy	["'high", "er", "'en", "er", "gy"]
red-bearded	["'red", "bear", "ded"]
divertissement	["di", "ver", "tiss", "ment"]
radiographically	["ra", "di", "o", "graph", "i", "cal", "ly"]
top-loading	["'top", "load", "ing"]
delegitimization	["de", "le", "git", "i", "mi", "'za", "tion"]
attacked	["a", "'tacked"]
eighth-place	["'eighth", "place"]
population-control	["pop", "u", "'la", "tion", "con", "trol"]
disestablish	["dis", "e", "'stab", "lish"]
preemptory	["pre", "'emp", "to", "ry"]
amatory	["'am", "a", "to", "ry"]
sportsmanlike	["'sports", "man", "like"]
limited-production	["'lim", "it", "ed", "pro", "'duc", "tion"]
potato-chip	["po", "'ta", "to", "chip"]
punting	["'pun", "ting"]
woman-centered	["'wom", "an", "'cen", "tered"]
hyperthermia	["hy", "per", "'ther", "mi", "a"]
trustingly	["'trust", "ing", "ly"]
home-built	["'home", "built"]
easy-to-reach	["'ea", "sy", "to", "reach"]
fishbone	["'fish", "bone"]
electricity-generating	["e", "lec", "'tric", "i", "ty", "'gen", "er", "a", "ting"]
top-dollar	["'top", "dol", "lar"]
moussaka	["moo", "'sa", "ka"]
glassed	["'glassed"]
humorlessly	["'hu", "mor", "less", "ly"]
inventively	["in", "'ven", "tive", "ly"]
twice-baked	["'twice", "baked"]
strumpet	["'strum", "pet"]
unfashionably	["un", "'fash", "ion", "a", "bly"]
saffron-colored	["'saf", "fron", "'col", "ored"]
family-type	["'fam", "i", "ly", "type"]
cross-curricular	["cross", "cur", "'ric", "u", "lar"]
bactrian	["'bac", "tri", "an"]
price-to-book	["'price", "to", "book"]
money-wise	["'mon", "ey", "wise"]
photolithography	["pho", "to", "li", "'thog", "ra", "phy"]
passenger-car	["'pas", "sen", "ger", "car"]
linage	["'lin", "age"]
problematization	["prob", "le", "ma", "ti", "'za", "tion"]
enterprise-wide	["'en", "ter", "prise", "wide"]
agnatic	["ag", "'nat", "ic"]
distention	["dis", "'ten", "tion"]
elaborative	["e", "'lab", "o", "ra", "tive"]
aseptically	["a", "'sep", "ti", "cal", "ly"]
metrosexual	["'me", "tro", "'sex", "u", "al"]
invidiously	["in", "'vid", "i", "ous", "ly"]
polyploid	["'pol", "y", "ploid"]
remapping	["re", "'map", "ping"]
strengthener	["'strength", "en", "er"]
gazette	["ga", "'zette"]
pro-consumer	["pro", "con", "'su", "mer"]
homburg	["'hom", "burg"]
journeying	["'jour", "ney", "ing"]
inhomogeneous	["in", "ho", "mo", "'ge", "ne", "ous"]
six-night	["'six", "night"]
prole	["prole"]
non-core	["'non", "core"]
gridlike	["'grid", "like"]
bittern	["'bit", "tern"]
sexually-transmitted	["'sex", "u", "al", "ly", "trans", "'mit", "ted"]
palely	["'pale", "ly"]
three-guard	["three", "guard"]
opaqueness	["o", "'paque", "ness"]
paraphilia	["par", "a", "'phil", "i", "a"]
yucatecan	["yu", "ca", "'te", "can"]
salesian	["sa", "'le", "sian"]
insurrectionary	["in", "sur", "rec", "'tion", "ar", "y"]
hard-scrabble	["'hard", "scra", "bble"]
anti-iraqi	["an", "ti", "i", "'ra", "qi"]
iconographical	["i", "con", "o", "'graph", "i", "cal"]
mass-based	["'mass", "based"]
physical-education	["'phys", "i", "cal", "ed", "u", "'ca", "tion"]
reconstructionist	["re", "con", "'struc", "tion", "ist"]
muskmelon	["'musk", "mel", "on"]
sorbitol	["'sor", "bi", "tol"]
echinoderm	["e", "'chi", "no", "derm"]
roundel	["'roun", "del"]
ragtop	["'rag", "top"]
immune-mediated	["im", "'mune", "'me", "di", "a", "ted"]
atlantean	["at", "'lan", "te", "an"]
excitatory	["ex", "'ci", "ta", "to", "ry"]
analysand	["a", "'nal", "y", "sand"]
chi-squared	["'chi", "squared"]
all-access	["'all", "ac", "cess"]
conformal	["con", "'form", "al"]
kundalini	["kun", "da", "'li", "ni"]
inner-ear	["'in", "ner", "ear"]
six-room	["'six", "room"]
lock-step	["'lock", "step"]
pre-dinner	["pre", "'din", "ner"]
forty-five-degree	["'for", "ty", "five", "de", "'gree"]
heat-sensitive	["'heat", "'sen", "si", "tive"]
distributing	["dis", "'trib", "u", "ting"]
round-shouldered	["'round", "'shoul", "dered"]
